playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2532804","null","Zach Brown","LB","BUF","LB","BUF","null","5.8856","null","null","null","44","null","null","0.128","null","null","null","6.6093","4.4","null","null",
"2555408","null","Roberto Aguayo","K","TB","K","TB","null","5.8656","null","null","null","29","null","null","0.6381","null","null","null","7.3547","2","6.9673","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","5.8456","null","null","null","26","null","null","0.1935","null","null","null","6.305","4.85","5.0437","null",
"496723","null","Eric Berry","DB","KC","DB","KC","null","5.8247","null","null","null","25","null","null","0.0247","null","null","null","6.3165","5.15","null","null",
"2495229","null","Kelvin Sheppard","LB","NYG","LB","NYG","null","5.8225","null","null","null","45","null","null","0.1512","null","null","null","5.8389","5.8","null","null",
"79897","null","Darius Butler","DB","IND","DB","IND","null","5.8","null","null","null","26","null","null","0.0039","null","null","null","5.8","5.8","null","null",
"2552386","null","Clayton Geathers","DB","IND","DB","IND","null","5.8","null","null","null","26","null","null","0.0102","null","null","null","5.8","5.8","null","null",
"2495108","null","Prince Amukamara","DB","JAC","DB","JAC","null","5.7922","null","null","null","28","null","null","0.0096","null","null","null","6.3332","5.05","null","null",
"2552568","null","Byron Jones","DB","DAL","DB","DAL","null","5.7873","null","null","null","29","null","null","0.0161","null","null","null","6.0333","5.45","null","null",
"2543469","null","Calvin Pryor","DB","NYJ","DB","NYJ","null","5.7777","null","null","null","30","null","null","0.0166","null","null","null","6.0592","5.2","null","null",
"2552397","null","Clive Walford","TE","OAK","TE","OAK","null","5.7651","null","null","null","11","null","null","0.1387","null","null","null","6.7761","5","4.233","null",
"2495272","null","Chris Conte","DB","TB","DB","TB","null","5.7649","null","null","null","31","null","null","0.0075","null","null","null","5.9944","5.45","null","null",
"2506345","null","Adam Jones","DB","CIN","DB","CIN","null","5.7574","null","null","null","32","null","null","0.0088","null","null","null","5.8722","5.6","null","null",
"71251","null","Patrick Chung","DB","NE","DB","NE","null","5.7572","null","null","null","33","null","null","0.0659","null","null","null","6.1999","5.15","null","null",
"2540170","null","David Amerson","DB","OAK","DB","OAK","null","5.74","null","null","null","34","null","null","0.1311","null","null","null","5.8055","5.65","null","null",
"2543485","null","Aaron Donald","DL","LA","DL","LA","null","5.7345","null","null","null","4","null","null","0.3909","null","null","null","6.4887","4.7","null","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","5.7302","null","null","null","12","null","null","0.2094","null","null","null","8.2874","0","5.921","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","null","5.7146","null","null","null","45","null","null","0.0713","null","null","null","6.17","4.5","3.3523","null",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","null","5.7062","null","null","null","57","null","null","0.0165","null","null","null","6.6131","3.8607","7.1762","null",
"2507763","null","Mike Wallace","WR","BAL","WR","BAL","null","5.696","null","null","null","58","null","null","0.0138","null","null","null","6.8332","3","4.3236","null",
"2533057","null","Donta Hightower","LB","NE","LB","NE","null","5.6926","null","null","null","46","null","null","0.0464","null","null","null","5.7864","5.5","null","null",
"2507999","null","Chris Ivory","RB","JAC","RB","JAC","null","5.6864","null","null","null","46","null","null","0.1731","null","null","null","9.8081","0","6.2781","null",
"2556370","null","Michael Thomas","WR","NO","WR","NO","null","5.6835","null","null","null","59","null","null","0.0275","null","null","null","7.5452","1.81","5.2777","null",
"2540202","null","Kenny Stills","WR","MIA","WR","MIA","null","5.6809","null","null","null","60","null","null","0.0666","null","null","null","6.8094","3","7.0032","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","5.6714","null","null","null","27","null","null","0.0428","null","null","null","9.5767","5.35","6.4253","null",
"79844","null","Dannell Ellerbe","LB","NO","LB","NO","null","5.65","null","null","null","47","null","null","0.0139","null","null","null","5.65","5.65","null","null",
"2552488","null","Marcus Peters","DB","KC","DB","KC","null","5.6428","null","null","null","35","null","null","0.0803","null","null","null","6.0046","4.9","null","null",
"71249","null","Jonathan Casillas","LB","NYG","LB","NYG","null","5.6424","null","null","null","48","null","null","0.0271","null","null","null","5.8555","5.35","null","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","5.6328","null","null","null","28","null","null","0.1157","null","null","null","6.2279","4.15","4.4909","null",
"2539205","null","Terrance Williams","WR","DAL","WR","DAL","null","5.631","null","null","null","61","null","null","0.0953","null","null","null","5.9046","4.42","3.9038","null",
"2532986","null","Tahir Whitehead","LB","DET","LB","DET","null","5.6299","null","null","null","49","null","null","0.0448","null","null","null","5.7611","5.45","null","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","5.6245","null","null","null","29","null","null","0.2714","null","null","null","6.336","4.15","3.5845","null",
"2540159","null","Kevin Minter","LB","ARI","LB","ARI","null","5.6006","null","null","null","50","null","null","0.0745","null","null","null","6.4048","3.95","null","null",
"2550268","null","Charcandrick West","RB","KC","RB","KC","null","5.6002","null","null","null","47","null","null","0.381","null","null","null","6.9809","4.0916","4.0453","null",
"2553737","null","Eli Rogers","WR","PIT","WR","PIT","null","5.5977","null","null","null","62","null","null","0.2023","null","null","null","6.9061","1.9","5.5818","null",
"2532877","null","Trumaine Johnson","DB","LA","DB","LA","null","5.5749","null","null","null","36","null","null","0.0272","null","null","null","5.7388","5.35","null","null",
"2533538","null","Chandler Jones","LB","ARI","LB","ARI","null","5.5697","null","null","null","51","null","null","0.1561","null","null","null","6.0943","4.85","null","null",
"2543470","null","Ha Ha Clinton-Dix","DB","GB","DB","GB","null","5.55","null","null","null","37","null","null","0.0273","null","null","null","5.55","5.55","null","null",
"2532792","null","Justin Bethel","DB","ARI","DB","ARI","null","5.5454","null","null","null","38","null","null","0.0542","null","null","null","6.0547","4.5","null","null",
"2500351","null","Phil Dawson","K","SF","K","SF","null","5.5321","null","null","null","30","null","null","3.0707","null","null","null","7.565","1","6.9982","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","5.5226","null","null","null","13","null","null","0.059","null","null","null","7.0811","3.2","4.2236","null",
"2543466","null","Eric Ebron","TE","DET","TE","DET","null","5.5189","null","null","null","14","null","null","0.1338","null","null","null","6.2988","3.5","4.7504","null",
"2533332","null","Ron Brooks","DB","PHI","DB","PHI","null","5.5","null","null","null","39","null","null","0.0178","null","null","null","5.5","5.5","null","null",
"2532870","null","Melvin Ingram","LB","SD","LB","SD","null","5.4825","null","null","null","52","null","null","0.2098","null","null","null","5.5227","5.4","null","null",
"2532848","null","Tashaun Gipson","DB","JAC","DB","JAC","null","5.4823","null","null","null","40","null","null","0.005","null","null","null","5.761","5.1","null","null",
"2507167","null","Reggie Nelson","DB","OAK","DB","OAK","null","5.4821","null","null","null","41","null","null","0.0522","null","null","null","6.0887","4.65","null","null",
"2505587","null","Anquan Boldin","WR","DET","WR","DET","null","5.4736","null","null","null","63","null","null","0.1873","null","null","null","5.599","4.2362","4.5764","null",
"2541958","null","Jahleel Addae","DB","SD","DB","SD","null","5.4725","null","null","null","42","null","null","0.11","null","null","null","5.4889","5.45","null","null",
"2504833","null","Shaun Hill","QB","MIN","QB","MIN","null","5.4658","null","null","null","34","null","null","1.7901","null","null","null","11.5666","0.124","5.5476","null",
"496780","null","Carlos Dunlap","DL","CIN","DL","CIN","null","5.4424","null","null","null","5","null","null","0.2185","null","null","null","5.6555","5.15","null","null",
"497206","null","James Starks","RB","GB","RB","GB","null","5.4265","null","null","null","48","null","null","0.4715","null","null","null","6.2196","4.2","3.559","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","5.4096","null","null","null","30","null","null","0.2668","null","null","null","6.1074","3.55","4.6609","null",
"2552633","null","Jesse James","TE","PIT","TE","PIT","null","5.4083","null","null","null","15","null","null","0.0934","null","null","null","6.8028","4.2761","4.5187","null",
"2508080","null","Earl Thomas","DB","SEA","DB","SEA","null","5.3873","null","null","null","43","null","null","0.0525","null","null","null","5.6333","5.05","null","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","5.3618","null","null","null","16","null","null","0.1021","null","null","null","6.8353","4.2","6.0216","null",
"80431","null","Clay Matthews","LB","GB","LB","GB","null","5.3446","null","null","null","53","null","null","0.1603","null","null","null","6.0331","4.4","null","null",
"494254","null","Nolan Carroll","DB","PHI","DB","PHI","null","5.3376","null","null","null","44","null","null","0.0077","null","null","null","5.4046","5.2","null","null",
"2532920","null","Josh Norman","DB","WAS","DB","WAS","null","5.3321","null","null","null","45","null","null","0.0185","null","null","null","5.9387","4.5","null","null",
"2543850","null","Ricardo Allen","DB","ATL","DB","ATL","null","5.3275","null","null","null","46","null","null","0.0352","null","null","null","5.3409","5.3","null","null",
"2495189","null","Jeremy Kerley","WR","SF","WR","SF","null","5.3171","null","null","null","64","null","null","0.1351","null","null","null","8.1722","2.13","5.848","null",
"2534822","null","Robert Golden","DB","PIT","DB","PIT","null","5.2998","null","null","null","47","null","null","0.0176","null","null","null","5.6277","4.85","null","null",
"100029","null","49ers","DST","SF","DST","SF","null","5.2966","null","null","null","31","null","null","0.3077","null","null","null","6.0174","3.75","4.8515","null",
"2495310","null","Byron Maxwell","DB","MIA","DB","MIA","null","5.2847","null","null","null","48","null","null","0.0062","null","null","null","5.711","4.7","null","null",
"2532875","null","Janoris Jenkins","DB","NYG","DB","NYG","null","5.2797","null","null","null","49","null","null","0.026","null","null","null","5.7387","4.65","null","null",
"496735","null","Kareem Jackson","DB","HOU","DB","HOU","null","5.2773","null","null","null","50","null","null","0.0483","null","null","null","5.5888","4.85","null","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","5.2681","null","null","null","17","null","null","0.2812","null","null","null","5.7372","3.7","5.5968","null",
"2507855","null","Victor Cruz","WR","NYG","WR","NYG","null","5.2555","null","null","null","65","null","null","0.1528","null","null","null","6.7691","2","7.2157","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","5.2514","null","null","null","18","null","null","0.5797","null","null","null","7.856","0.36","4.4516","null",
"2495485","null","Robert Quinn","DL","LA","DL","LA","null","5.245","null","null","null","6","null","null","0.1211","null","null","null","5.2778","5.2","null","null",
"2495872","null","Johnathan Joseph","DB","HOU","DB","HOU","null","5.2301","null","null","null","51","null","null","0.0101","null","null","null","5.391","4.9","null","null",
"494257","null","Kam Chancellor","DB","SEA","DB","SEA","null","5.2279","null","null","null","52","null","null","0.0182","null","null","null","5.7774","4.1","null","null",
"2534832","null","Rodney McLeod","DB","PHI","DB","PHI","null","5.212","null","null","null","53","null","null","0.0079","null","null","null","5.9498","4.2","null","null",
"2539233","null","Shawn Williams","DB","CIN","DB","CIN","null","5.2074","null","null","null","54","null","null","0.0083","null","null","null","5.3222","5.05","null","null",
"744","null","Calais Campbell","DL","ARI","DL","ARI","null","5.2028","null","null","null","7","null","null","0.2554","null","null","null","5.6183","4.35","null","null",
"2532789","null","Mark Barron","DB","LA","DB","LA","null","5.2008","null","null","null","55","null","null","0.0271","null","null","null","6.273","3","null","null",
"2532789","null","Mark Barron","LB","LA","LB","LA","null","5.2008","null","null","null","54","null","null","0.0381","null","null","null","6.273","3","null","null",
"1974","null","Quintin Demps","DB","HOU","DB","HOU","null","5.1974","null","null","null","56","null","null","0.0474","null","null","null","5.3777","4.95","null","null",
"2555161","null","Blake Martinez","LB","GB","LB","GB","null","5.1677","null","null","null","55","null","null","0.016","null","null","null","5.3955","4.7","null","null",
"2506883","null","Tamba Hali","LB","KC","LB","KC","null","5.1578","null","null","null","56","null","null","0.071","null","null","null","5.6001","4.25","null","null",
"2543492","null","Lamarcus Joyner","DB","LA","DB","LA","null","5.15","null","null","null","57","null","null","0.0138","null","null","null","5.15","5.15","null","null",
"2543799","null","Ross Cockrell","DB","PIT","DB","PIT","null","5.15","null","null","null","58","null","null","0.0325","null","null","null","5.15","5.15","null","null",
"2555162","null","Deion Jones","LB","ATL","LB","ATL","null","5.1456","null","null","null","57","null","null","0.1377","null","null","null","5.9229","3.55","null","null",
"4365","null","Brandon Carr","DB","DAL","DB","DAL","null","5.1225","null","null","null","59","null","null","0.0164","null","null","null","5.1389","5.1","null","null",
"2533060","null","Dre Kirkpatrick","DB","CIN","DB","CIN","null","5.1124","null","null","null","60","null","null","0.0253","null","null","null","5.1944","5","null","null",
"2555466","null","Tyler Boyd","WR","CIN","WR","CIN","null","5.1085","null","null","null","66","null","null","0.015","null","null","null","5.9514","2.1858","5.9061","null",
"2540162","null","Logan Ryan","DB","NE","DB","NE","null","5.0998","null","null","null","61","null","null","0.0265","null","null","null","5.4277","4.65","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","5.0969","null","null","null","67","null","null","0.0218","null","null","null","7.2797","2.32","7.5921","null",
"2553913","null","Tyrell Williams","WR","SD","WR","SD","null","5.0902","null","null","null","68","null","null","0.1171","null","null","null","7.2256","0.7","7.3841","null",
"2552385","null","Adrian Amos","DB","CHI","DB","CHI","null","5.0745","null","null","null","62","null","null","0.0134","null","null","null","5.8942","3.95","null","null",
"71353","null","Rashad Johnson","DB","TEN","DB","TEN","null","5.0721","null","null","null","63","null","null","0.032","null","null","null","5.7442","4.15","null","null",
"71217","null","Kenny Britt","WR","LA","WR","LA","null","5.0601","null","null","null","69","null","null","0.215","null","null","null","5.5951","3.74","5.5603","null",
"89756","null","Jason McCourty","DB","TEN","DB","TEN","null","5.05","null","null","null","64","null","null","0.0214","null","null","null","5.05","5.05","null","null",
"2495490","null","Muhammad Wilkerson","DL","NYJ","DL","NYJ","null","5.045","null","null","null","8","null","null","0.2502","null","null","null","5.0778","5","null","null",
"496733","null","Joe Haden","DB","CLE","DB","CLE","null","5.0301","null","null","null","65","null","null","0.0304","null","null","null","5.191","4.7","null","null",
"2507843","null","Vincent Rey","LB","CIN","LB","CIN","null","5.0281","null","null","null","58","null","null","0.0444","null","null","null","5.8457","3.35","null","null",
"2550613","null","Malcolm Butler","DB","NE","DB","NE","null","5.0271","null","null","null","66","null","null","0.0673","null","null","null","5.6665","4.15","null","null",
"2535890","null","Travaris Cadet","RB","FA","RB","FA","null","5.0118","null","null","null","49","null","null","0.1724","null","null","null","5.3007","0","3.3245","null",
"2543465","null","Teddy Bridgewater","QB","MIN","QB","MIN","null","4.9914","null","null","null","35","null","null","2.8404","null","null","null","8.6093","0","14.7857","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","4.9889","null","null","null","32","null","null","null","null","null","null","5.043","3.95","2.606","null",
"496820","null","Koa Misi","LB","MIA","LB","MIA","null","4.9878","null","null","null","59","null","null","0.0478","null","null","null","5.3228","4.3","null","null",
"2552321","null","Stephone Anthony","LB","NO","LB","NO","null","4.9797","null","null","null","60","null","null","0.1223","null","null","null","5.4387","4.35","null","null",
"2530510","null","Chris Harris","DB","DEN","DB","DEN","null","4.9723","null","null","null","67","null","null","0.0287","null","null","null","5.3166","4.5","null","null",
"494307","null","Darian Stewart","DB","DEN","DB","DEN","null","4.9474","null","null","null","68","null","null","0.0201","null","null","null","5.1277","4.7","null","null",
"2539290","null","Jordan Poyer","DB","CLE","DB","CLE","null","4.9398","null","null","null","69","null","null","0.0249","null","null","null","5.3332","4.4","null","null",
"2553648","null","Andrew Franks","K","MIA","K","MIA","null","4.9229","null","null","null","31","null","null","4.9229","null","null","null","7.1226","2","6.9429","null",
"2533062","null","Stephon Gilmore","DB","BUF","DB","BUF","null","4.9149","null","null","null","70","null","null","0.0699","null","null","null","5.1444","4.6","null","null",
"494287","null","Devin McCourty","DB","NE","DB","NE","null","4.9149","null","null","null","70","null","null","0.0324","null","null","null","5.1444","4.6","null","null",
"2532800","null","Nigel Bradham","LB","PHI","LB","PHI","null","4.9002","null","null","null","61","null","null","0.0941","null","null","null","5.1683","4.35","null","null",
"2556075","null","Derrick Henry","RB","TEN","RB","TEN","null","4.8982","null","null","null","50","null","null","0.1382","null","null","null","5.8326","1.9","4.574","null",
"2552424","null","Phillip Dorsett","WR","IND","WR","IND","null","4.8862","null","null","null","70","null","null","0.0978","null","null","null","5.9189","2","4.8886","null",
"2535687","null","Michael Thomas","DB","MIA","DB","MIA","null","4.85","null","null","null","72","null","null","0.0289","null","null","null","4.85","4.85","null","null",
"2539296","null","Kawann Short","DL","CAR","DL","CAR","null","4.8498","null","null","null","9","null","null","0.1488","null","null","null","5.1777","4.4","null","null",
"2552389","null","Damarious Randall","DB","GB","DB","GB","null","4.84","null","null","null","73","null","null","0.0389","null","null","null","4.9055","4.75","null","null",
"2532890","null","Mychal Kendricks","LB","PHI","LB","PHI","null","4.8146","null","null","null","62","null","null","0.0546","null","null","null","5.372","4.05","null","null",
"2530700","null","Dontrelle Inman","WR","SD","WR","SD","null","4.8039","null","null","null","71","null","null","0.0667","null","null","null","5.3669","2.4","6.2057","null",
"2525323","null","Andrew Sendejo","DB","MIN","DB","MIN","null","4.8022","null","null","null","74","null","null","0.0098","null","null","null","5.2776","4.15","null","null",
"2555155","null","Deon Bush","DB","CHI","DB","CHI","null","4.8","null","null","null","75","null","null","0.05","null","null","null","4.8","4.8","null","null",
"2533049","null","Whitney Mercilus","LB","HOU","LB","HOU","null","4.7976","null","null","null","63","null","null","0.1","null","null","null","4.9182","4.55","null","null",
"71441","null","Glover Quin","DB","DET","DB","DET","null","4.7847","null","null","null","76","null","null","0.0735","null","null","null","5.211","4.2","null","null",
"2555223","null","Devontae Booker","RB","DEN","RB","DEN","null","4.7806","null","null","null","51","null","null","0.1047","null","null","null","5.9032","0","5.2596","null",
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","null","4.7728","null","null","null","72","null","null","0.0776","null","null","null","5.3789","3.33","5.0752","null",
"496762","null","Geno Atkins","DL","CIN","DL","CIN","null","4.7398","null","null","null","10","null","null","0.1236","null","null","null","5.1332","4.2","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","4.7395","null","null","null","52","null","null","0.3628","null","null","null","5.0764","3.812","4.7982","null",
"2552314","null","Jake Ryan","LB","GB","LB","GB","null","4.7225","null","null","null","64","null","null","0.0626","null","null","null","4.7389","4.7","null","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","4.7224","null","null","null","19","null","null","0.2109","null","null","null","4.834","4","5.9993","null",
"2495153","null","Marcus Gilchrist","DB","NYJ","DB","NYJ","null","4.7153","null","null","null","77","null","null","0.0091","null","null","null","5.0637","4","null","null",
"2508110","null","Aaron Williams","DB","BUF","DB","BUF","null","4.7072","null","null","null","78","null","null","0.0047","null","null","null","5.1499","4.1","null","null",
"238227","null","Mike Mitchell","DB","PIT","DB","PIT","null","4.705","null","null","null","79","null","null","0.03","null","null","null","4.7318","4.65","null","null",
"2550597","null","Seth Roberts","WR","OAK","WR","OAK","null","4.7016","null","null","null","73","null","null","0.0175","null","null","null","5.803","2.72","4.2647","null",
"2543739","null","Dontae Johnson","DB","SF","DB","SF","null","4.7","null","null","null","80","null","null","0.0513","null","null","null","4.7","4.7","null","null",
"2552600","null","Nelson Agholor","WR","PHI","WR","PHI","null","4.6888","null","null","null","74","null","null","0.0278","null","null","null","5.3033","2.7","8.1566","null",
"2505551","null","Andre Johnson","WR","TEN","WR","TEN","null","4.6796","null","null","null","75","null","null","0.0816","null","null","null","6.4675","3.07","4.421","null",
"2543456","null","Jadeveon Clowney","LB","HOU","LB","HOU","null","4.6727","null","null","null","65","null","null","0.0741","null","null","null","4.9273","4.15","null","null",
"2539931","null","Ezekiel Ansah","DL","DET","DL","DET","null","4.6622","null","null","null","11","null","null","0.101","null","null","null","5.0721","4.1","null","null",
"2550145","null","Maurice Alexander","DB","LA","DB","LA","null","4.65","null","null","null","81","null","null","0.0164","null","null","null","4.65","4.65","null","null",
"2532869","null","George Iloka","DB","CIN","DB","CIN","null","4.6474","null","null","null","82","null","null","0.045","null","null","null","4.8277","4.4","null","null",
"1363","null","Erin Henderson","LB","NYJ","LB","NYJ","null","4.6472","null","null","null","66","null","null","0.1222","null","null","null","5.1554","3.95","null","null",
"2530515","null","Chris Hogan","WR","NE","WR","NE","null","4.6424","null","null","null","76","null","null","0.1042","null","null","null","5.978","1.9","null","null",
"2543683","null","Austin Seferian-Jenkins","TE","TB","TE","TB","null","4.621","null","null","null","20","null","null","0.2685","null","null","null","7.1891","2.68","7.0976","null",
"2543830","null","Tre Boston","DB","CAR","DB","CAR","null","4.6199","null","null","null","83","null","null","0.0512","null","null","null","4.8166","4.35","null","null",
"2543715","null","Jerick McKinnon","RB","MIN","RB","MIN","null","4.6122","null","null","null","53","null","null","0.4921","null","null","null","4.8749","3.8","3.5671","null",
"280","null","Dwight Lowery","DB","SD","DB","SD","null","4.5849","null","null","null","84","null","null","0.0337","null","null","null","4.6833","4.45","null","null",
"71193","null","Robert Ayers","DL","TB","DL","TB","null","4.5701","null","null","null","12","null","null","0.0564","null","null","null","4.6773","4.35","null","null",
"2543495","null","Davante Adams","WR","GB","WR","GB","null","4.5535","null","null","null","77","null","null","0.0459","null","null","null","5.1241","2.8","5.9952","null",
"2539653","null","Robert Alford","DB","ATL","DB","ATL","null","4.5524","null","null","null","85","null","null","0.0162","null","null","null","4.7","4.35","null","null",
"496790","null","Everson Griffen","DL","MIN","DL","MIN","null","4.5524","null","null","null","13","null","null","0.0776","null","null","null","4.7","4.35","null","null",
"2506349","null","DeMarcus Ware","LB","DEN","LB","DEN","null","4.55","null","null","null","67","null","null","0.0683","null","null","null","4.55","4.55","null","null",
"2543823","null","E.J. Gaines","DB","LA","DB","LA","null","4.55","null","null","null","86","null","null","0.0324","null","null","null","4.55","4.55","null","null",
"2539250","null","Quinton Patton","WR","SF","WR","SF","null","4.5229","null","null","null","78","null","null","0.1092","null","null","null","4.7247","3.9231","5.4746","null",
"2533059","null","Morris Claiborne","DB","DAL","DB","DAL","null","4.5225","null","null","null","87","null","null","0.0162","null","null","null","4.5389","4.5","null","null",
"2495343","null","Buster Skrine","DB","NYJ","DB","NYJ","null","4.5127","null","null","null","88","null","null","0.0127","null","null","null","4.7137","4.1","null","null",
"2506861","null","Brent Grimes","DB","TB","DB","TB","null","4.5","null","null","null","89","null","null","0.0615","null","null","null","4.5","4.5","null","null",
"4393","null","Ryan Mundy","DB","CHI","DB","CHI","null","4.5","null","null","null","89","null","null","0.0288","null","null","null","4.5","4.5","null","null",
"2550547","null","Max Bullough","LB","HOU","LB","HOU","null","4.5","null","null","null","68","null","null","0.0395","null","null","null","4.5","4.5","null","null",
"2508097","null","Andrew Hawkins","WR","CLE","WR","CLE","null","4.4923","null","null","null","79","null","null","0.1679","null","null","null","6.7623","2.45","5.8933","null",
"2533051","null","Fletcher Cox","DL","PHI","DL","PHI","null","4.4749","null","null","null","14","null","null","0.0263","null","null","null","4.6388","4.25","null","null",
"496861","null","Ndamukong Suh","DL","MIA","DL","MIA","null","4.4747","null","null","null","15","null","null","0.091","null","null","null","4.9665","3.8","null","null",
"2555255","null","DeVondre Campbell","LB","ATL","LB","ATL","null","4.4635","null","null","null","69","null","null","0.0448","null","null","null","5.7367","1.85","null","null",
"2552276","null","Preston Smith","LB","WAS","LB","WAS","null","4.4574","null","null","null","70","null","null","0.0827","null","null","null","4.5722","4.3","null","null",
"2507220","null","William Gay","DB","PIT","DB","PIT","null","4.4424","null","null","null","91","null","null","0.0176","null","null","null","4.6555","4.15","null","null",
"1302","null","Aqib Talib","DB","DEN","DB","DEN","null","4.4347","null","null","null","92","null","null","0.031","null","null","null","4.861","3.85","null","null",
"496843","null","Jason Pierre-Paul","DL","NYG","DL","NYG","null","4.4225","null","null","null","16","null","null","0.0787","null","null","null","4.4389","4.4","null","null",
"79899","null","Jairus Byrd","DB","NO","DB","NO","null","4.4149","null","null","null","93","null","null","0.0347","null","null","null","4.6444","4.1","null","null",
"71265","null","Jared Cook","TE","GB","TE","GB","null","4.4018","null","null","null","21","null","null","0.1608","null","null","null","5.1128","3.1036","3.7852","null",
"2543493","null","Jason Verrett","DB","SD","DB","SD","null","4.3926","null","null","null","94","null","null","0.0624","null","null","null","4.4864","4.2","null","null",
"2508063","null","Willie Young","LB","CHI","LB","CHI","null","4.3799","null","null","null","71","null","null","0.0202","null","null","null","4.5111","4.2","null","null",
"2539293","null","Gerald Hodges","LB","SF","LB","SF","null","4.3695","null","null","null","72","null","null","0.0706","null","null","null","5.222","3.2","null","null",
"2507783","null","Sean Smith","DB","OAK","DB","OAK","null","4.3677","null","null","null","95","null","null","0.0964","null","null","null","4.5955","3.9","null","null",
"2552273","null","Markus Golden","LB","ARI","LB","ARI","null","4.35","null","null","null","73","null","null","0.1234","null","null","null","4.35","4.35","null","null",
"2508109","null","Cameron Heyward","DL","PIT","DL","PIT","null","4.345","null","null","null","17","null","null","0.0537","null","null","null","4.3778","4.3","null","null",
"2495184","null","Cameron Jordan","DL","NO","DL","NO","null","4.3426","null","null","null","18","null","null","0.129","null","null","null","4.4364","4.15","null","null",
"2535698","null","Cole Beasley","WR","DAL","WR","DAL","null","4.3352","null","null","null","80","null","null","0.0288","null","null","null","4.9243","3.2","9.3251","null",
"2540154","null","Keenan Allen","WR","SD","WR","SD","null","4.3135","null","null","null","81","null","null","0.0399","null","null","null","6.493","0","12.5368","null",
"2533046","null","Dwayne Allen","TE","IND","TE","IND","null","4.3032","null","null","null","22","null","null","0.146","null","null","null","5.4022","1.6","4.6758","null",
"2543828","null","Quincy Enunwa","WR","NYJ","WR","NYJ","null","4.2994","null","null","null","82","null","null","0.1139","null","null","null","5.3264","2.73","null","null",
"306","null","Dominique Rodgers-Cromartie","DB","NYG","DB","NYG","null","4.2926","null","null","null","96","null","null","0.06","null","null","null","4.3864","4.1","null","null",
"2539932","null","Jamar Taylor","DB","CLE","DB","CLE","null","4.25","null","null","null","97","null","null","0.05","null","null","null","4.25","4.25","null","null",
"2552415","null","Jamison Crowder","WR","WAS","WR","WAS","null","4.248","null","null","null","83","null","null","0.2064","null","null","null","5.4744","2.27","6.1364","null",
"79852","null","Rey Maualuga","LB","CIN","LB","CIN","null","4.2478","null","null","null","74","null","null","0.0501","null","null","null","4.6365","3.45","null","null",
"1330","null","Cliff Avril","DL","SEA","DL","SEA","null","4.24","null","null","null","19","null","null","0.0539","null","null","null","4.3055","4.15","null","null",
"2539334","null","Desmond Trufant","DB","ATL","DB","ATL","null","4.2151","null","null","null","98","null","null","0.0389","null","null","null","4.2955","4.05","null","null",
"2495190","null","Ryan Kerrigan","LB","WAS","LB","WAS","null","4.2054","null","null","null","75","null","null","0.0642","null","null","null","4.7683","3.05","null","null",
"2543717","null","Jeremiah Attaochu","LB","SD","LB","SD","null","4.19","null","null","null","76","null","null","0.1214","null","null","null","4.2555","4.1","null","null",
"2495982","null","Mario Williams","DL","MIA","DL","MIA","null","4.1871","null","null","null","20","null","null","0.0236","null","null","null","4.7609","3.4","null","null",
"2505552","null","Terence Newman","DB","MIN","DB","MIN","null","4.1849","null","null","null","99","null","null","0.0323","null","null","null","4.2833","4.05","null","null",
"2507617","null","Michael Bennett","DL","SEA","DL","SEA","null","4.1849","null","null","null","21","null","null","0.0489","null","null","null","4.2833","4.05","null","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","null","4.1788","null","null","null","23","null","null","0.0914","null","null","null","4.9641","2.5","5.8987","null",
"1037374","null","Sam Shields","DB","GB","DB","GB","null","4.1675","null","null","null","100","null","null","0.0574","null","null","null","4.2167","4.1","null","null",
"2543484","null","Kony Ealy","DL","CAR","DL","CAR","null","4.1422","null","null","null","22","null","null","0.0396","null","null","null","4.6832","3.4","null","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","4.1413","null","null","null","54","null","null","0.0866","null","null","null","5.8695","2.43","3.7511","null",
"79545","null","David Bruton","DB","WAS","DB","WAS","null","4.1378","null","null","null","101","null","null","0.0566","null","null","null","4.4728","3.45","null","null",
