playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2555259","null","Carson Wentz","QB","PHI","QB","PHI","null","12.2214","null","null","null","28","null","null","1.4133","null","null","null","14.1463","8.24","8.4747","null",
"2540204","null","Spencer Ware","RB","KC","RB","KC","null","12.1984","null","null","null","8","null","null","0.2069","null","null","null","13.3288","10.9955","4.0523","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","12.169","null","null","null","3","null","null","0.6092","null","null","null","12.1512","9.15","3.0495","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","12.0023","null","null","null","9","null","null","0.0562","null","null","null","14.1429","8.98","4.7965","null",
"2541161","null","Latavius Murray","RB","OAK","RB","OAK","null","11.9807","null","null","null","10","null","null","0.2169","null","null","null","15.3599","9.77","6.3018","null",
"2555224","null","Ezekiel Elliott","RB","DAL","RB","DAL","null","11.9116","null","null","null","11","null","null","0.4031","null","null","null","13.7493","7.1","4.06","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","11.6714","null","null","null","4","null","null","0.2742","null","null","null","11.9791","7.55","4.1331","null",
"2552475","null","Todd Gurley","RB","LA","RB","LA","null","11.6159","null","null","null","12","null","null","0.2728","null","null","null","13.9871","7.6","6.9743","null",
"2543509","null","Allen Robinson","WR","JAC","WR","JAC","null","11.4983","null","null","null","6","null","null","0.4172","null","null","null","12.0016","7.8","5.1053","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","11.4481","null","null","null","5","null","null","0.1505","null","null","null","13.767","9.25","3.7015","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","11.4012","null","null","null","13","null","null","0.2738","null","null","null","12.6371","9.1","4.634","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","11.3465","null","null","null","6","null","null","0.1265","null","null","null","12.7234","5.95","7.7801","null",
"2543583","null","Devonta Freeman","RB","ATL","RB","ATL","null","11.2851","null","null","null","14","null","null","0.5194","null","null","null","11.5364","9.8","8.6832","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","11.2698","null","null","null","29","null","null","1.0762","null","null","null","12.9277","8.88","5.6087","null",
"2533039","null","Alshon Jeffery","WR","CHI","WR","CHI","null","11.2596","null","null","null","7","null","null","0.6119","null","null","null","12.9545","9.0062","7.032","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","11.2487","null","null","null","7","null","null","0.1831","null","null","null","11.5081","7.05","4.7706","null",
"100010","null","Lions","DST","DET","DST","DET","null","11.1912","null","null","null","8","null","null","0.3691","null","null","null","11.5058","7.05","5.4151","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","10.9696","null","null","null","15","null","null","0.4468","null","null","null","14.831","6.64","4.2426","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","10.94","null","null","null","9","null","null","0.3539","null","null","null","11.6581","5.55","5.5726","null",
"2505459","null","Josh Brown","K","NYG","K","NYG","null","10.9067","null","null","null","1","null","null","0.2794","null","null","null","12.9201","8.8","6.098","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","10.9026","null","null","null","8","null","null","0.5105","null","null","null","12.2176","9.59","5.3178","null",
"2536340","null","Justin Tucker","K","BAL","K","BAL","null","10.8179","null","null","null","2","null","null","0.3967","null","null","null","12.8378","8.8","5.1026","null",
"100021","null","Patriots","DST","NE","DST","NE","null","10.7043","null","null","null","10","null","null","0.3175","null","null","null","10.4644","7.25","3.3225","null",
"2495207","null","DeMarco Murray","RB","TEN","RB","TEN","null","10.5619","null","null","null","16","null","null","0.0783","null","null","null","12.8044","8.76","5.8946","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","10.4838","null","null","null","17","null","null","0.0624","null","null","null","12.3551","7.17","6.3941","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","10.4833","null","null","null","18","null","null","0.2173","null","null","null","11.1029","8.62","4.6784","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","10.468","null","null","null","11","null","null","1.1109","null","null","null","10.8096","9.65","5.007","null",
"2506677","null","Matt Prater","K","DET","K","DET","null","10.4367","null","null","null","3","null","null","0.1041","null","null","null","12.9901","7.8","6.7745","null",
"2506922","null","Stephen Gostkowski","K","NE","K","NE","null","10.4056","null","null","null","4","null","null","0.2795","null","null","null","11.621","9","1.7083","null",
"2543471","null","Kelvin Benjamin","WR","CAR","WR","CAR","null","10.3928","null","null","null","9","null","null","0.0399","null","null","null","12.0466","8.41","6.0302","null",
"2552487","null","Amari Cooper","WR","OAK","WR","OAK","null","10.3914","null","null","null","10","null","null","0.235","null","null","null","11.7897","5.3","4.4332","null",
"2532899","null","Doug Martin","RB","TB","RB","TB","null","10.3596","null","null","null","19","null","null","0.217","null","null","null","10.7049","9.5","4.9188","null",
"497095","null","Sam Bradford","QB","MIN","QB","MIN","null","10.3464","null","null","null","30","null","null","1.0206","null","null","null","11.3193","9.3","7.7268","null",
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","null","10.3143","null","null","null","11","null","null","0.3206","null","null","null","10.5704","7.9","3.7378","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","10.3055","null","null","null","12","null","null","1.9904","null","null","null","11.3279","4.45","5.9406","null",
"2539227","null","Dustin Hopkins","K","WAS","K","WAS","null","10.2596","null","null","null","5","null","null","0.3784","null","null","null","13.5476","7.3","7.9848","null",
"2540168","null","Eddie Lacy","RB","GB","RB","GB","null","10.1723","null","null","null","20","null","null","0.0721","null","null","null","10.889","6.4","6.0581","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","10.1128","null","null","null","21","null","null","0.274","null","null","null","10.8861","8.5","4.9557","null",
"2552469","null","Melvin Gordon","RB","SD","RB","SD","null","10.0876","null","null","null","22","null","null","0.6483","null","null","null","11.8446","8.59","8.2448","null",
"2553457","null","Trevor Siemian","QB","DEN","QB","DEN","null","10.0408","null","null","null","31","null","null","2.4789","null","null","null","13.7281","4.718","9.4631","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","null","9.9985","null","null","null","12","null","null","0.03","null","null","null","11.5384","8.3","4.3338","null",
"2550325","null","Chandler Catanzaro","K","ARI","K","ARI","null","9.9928","null","null","null","6","null","null","0.2242","null","null","null","11.9387","6.7","5.24","null",
"2543457","null","Sammy Watkins","WR","BUF","WR","BUF","null","9.989","null","null","null","13","null","null","0.0646","null","null","null","12.1859","7.7322","10.2212","null",
"2543468","null","Mike Evans","WR","TB","WR","TB","null","9.9481","null","null","null","14","null","null","0.1191","null","null","null","10.0996","7.5","4.7435","null",
"2543498","null","Brandin Cooks","WR","NO","WR","NO","null","9.9007","null","null","null","15","null","null","0.1698","null","null","null","11.3778","3.5","4.975","null",
"2507374","null","Steven Hauschka","K","SEA","K","SEA","null","9.7696","null","null","null","7","null","null","0.0386","null","null","null","11.7958","7.2","4.4682","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","9.7676","null","null","null","8","null","null","0.3608","null","null","null","11.1547","8","5.1433","null",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","null","9.7572","null","null","null","16","null","null","0.141","null","null","null","10.7585","8.62","6.1469","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","9.7046","null","null","null","17","null","null","0.291","null","null","null","11.846","5","9.0763","null",
"2541556","null","Brandon McManus","K","DEN","K","DEN","null","9.6943","null","null","null","9","null","null","0.7399","null","null","null","11.6541","8.1","5.1998","null",
